Id,Sex,Age,Trial1,Trial2,Trial3,Trial4,Trial5
1,0,31,0.049,0.026,0.111,0.072,0.018
2,0,30,0.064,0.003,0.004,0.024,0.03
3,0,30,0.052,0.077,0.078,0.152,0.104
4,0,27,0.189,0.168,0.071,0.059,0.022
5,0,30,0.072,0.001,0.016,0.041,0.204
6,0,28,0.099,0.067,0.064,0.075,0.05
7,0,34,0.055,0.03,0.053,0.118,0.06
8,0,28,0.202,0.107,0.11,0.052,0.038
9,0,28,0.219,0.094,0.047,0.191,0.23
10,0,33,0.062,0.013,0.006,0.024,0.061
11,1,17,0.095,0.124,0.011,0.088,0.093
12,1,24,0.023,0.061,0.059,0.136,0.075
13,1,7,0.341,0.102,0.344,0.368,0.032
14,0,11,0.193,0.274,0.07,0.073,0.043
15,1,38,0.191,0.212,0.131,0.162,0.114
16,0,45,0.009,0.045,0.079,0.158,0.068
17,1,7,0.003,0.002,0.027,0.004,0.133
18,1,10,0.355,0.07,0.159,0.092,0.036
19,1,10,0.285,0.077,0.079,0.15,0.003
20,0,31,0.101,0.074,0.059,0.019,0.082
21,0,33,0.101,0.035,0.012,0.134,0.077
22,0,52,0.141,0.162,0.046,0.091,0.142
23,1,13,0.063,0.13,0.091,0.014,0.025
24,0,37,0.079,0.012,0.008,0.061,0.058
25,0,10,0.174,0.049,0.194,0.115,0.035
26,0,11,0.039,0.261,0.101,0.007,0.07
27,0,12,0.259,0.779,0.017,0.01,0.11
28,0,13,0.112,0.132,0.053,0.014,0.032
29,0,41,0.077,0.062,0.066,0.091,0.07
30,0,7,0.563,0.529,0.383,0.438,0.179
31,1,39,0.065,0.081,0.013,0.111,0.049
32,0,11,0.142,0.024,0.037,0.015,0.07
33,0,10,0.151,0.046,0.036,0.219,0.048
34,0,37,0.41,0.104,0.218,0.17,0.202
35,1,38,0.105,0.033,0.018,0.066,0.046
36,1,6,0.11,0.011,0.261,0.033,0.132
37,0,11,0.008,0.026,0.1,0.114,0.124
38,1,45,0.127,0.148,0.082,0.168,0.121
39,1,13,0.077,0.172,0.043,0.016,0.028
40,1,45,0.212,0.122,0.154,0.085,0.13
41,0,10,0.061,0.18,0.095,0.04,0.067
42,0,12,0.028,0.104,0.044,0.003,0.006
43,1,14,0.317,0.156,0.175,0.151,0.141
44,1,13,0.356,0.074,0.105,0.005,0.041
45,0,13,0.16,0.112,0.021,0.162,0.057
46,0,13,0.105,0.048,0.03,0.087,0.078
47,0,11,0.153,0.13,0.088,0.168,0.009
48,1,11,0.087,0.052,0.001,0.075,0.131
49,0,39,0.028,0.023,0.057,0.058,0.015
50,1,36,0.214,0.103,0.119,0.056,0.081
51,1,11,0.396,0.422,0.367,0.356,0.448
52,0,41,0.219,0.154,0.129,0.014,0.14
53,0,7,0.023,0.03,0.166,0.083,0.056
54,0,42,0.142,0.025,0.089,0.036,0.012
55,0,9,0.016,0.113,0.271,0.11,0.12
56,0,8,0.173,0.224,0.012,0.046,0.116
57,1,40,0.132,0.044,0.056,0.288,0.123
58,0,40,0.046,0.274,0.204,0.266,0.147
59,0,8,0.177,0.197,0.273,0.117,0.262
60,0,7,0.136,0.209,0.162,0.001,0.418
61,1,8,0.163,0.373,0.166,0.523,0.168
62,0,40,0.155,0.163,0.117,0.034,0.083
63,0,6,0.049,0.049,0.037,0.023,0.023
64,1,8,0.105,0.352,0.054,0.129,0.124
65,0,13,0.056,0.056,0.023,0.018,0.134
66,1,12,0.276,0.091,0.132,0.172,0.175
67,0,45,0.153,0.13,0.123,0.084,0.063
68,0,9,0.143,0.065,0.005,0.118,0.328
69,1,40,0.018,0.168,0.133,0.035,0.187
70,0,38,0.044,0.033,0.084,0.112,0.057
71,0,13,0.059,0.163,0.069,0.151,0.031
72,1,10,0.052,0.192,0.007,0.09,0.203
73,1,14,0.205,0.32,0.176,0.132,0.256
74,1,10,0.242,0.089,0.212,0.194,0.108
75,0,7,0.431,0.139,0.168,0.012,0.122
76,0,8,0.044,0.098,0.26,0.218,0.053
77,0,37,0.131,0.057,0.118,0.105,0.124
78,1,9,0.403,0.032,0.048,0.072,0.116
79,1,12,0.089,0.027,0.042,0.132,0.093
80,0,11,0.034,0.084,0.031,0.029,0.011
81,0,39,0.127,0.089,0.061,0.025,0.017
82,1,34,0.143,0.065,0.062,0.139,0.132
83,1,6,0.295,0.013,0.056,0.112,0.233
84,0,28,0.072,0.062,0.021,0.044,0.035
85,0,29,0.045,0.026,0.02,0.106,0.009
86,0,6,0.215,0.005,0.134,0.189,0.06
87,1,10,0.034,0.071,0.024,0.029,0.233
88,0,6,0.045,0.222,0.489,0.016,0.182
89,0,38,0.173,0.007,0.041,0.044,0.033
90,1,8,0.016,0.233,0.096,0.214,0.099
